Agency & Subagency Name,Sorting Code,Reporting Level_2015,Response Count_2015,Employee Engagement: Overall_2015,Employee Engagement: Leaders Lead_2015,Employee Engagement: Supervisors_2015,Employee Engagement: Intrinsic Work Experience_2015,HCAAF: Leadership and Knowledge Management_2015,HCAAF: Results-Oriented Performance Culture_2015,HCAAF: Talent Management_2015,HCAAF: Job Satisfaction_2015,New IQ: Overall_2015,New IQ: Fair_2015,New IQ: Open_2015,New IQ: Cooperative_2015,New IQ: Supportive_2015,New IQ: Empowered_2015,Global Satisfaction_2015,Reporting Level_2016,Response Count_2016,Employee Engagement: Overall_2016,Employee Engagement: Leaders Lead_2016,Employee Engagement: Supervisors_2016,Employee Engagement: Intrinsic Work Experience_2016,HCAAF: Leadership and Knowledge Management_2016,HCAAF: Results-Oriented Performance Culture_2016,HCAAF: Talent Management_2016,HCAAF: Job Satisfaction_2016,New IQ: Overall_2016,New IQ: Fair_2016,New IQ: Open_2016,New IQ: Cooperative_2016,New IQ: Supportive_2016,New IQ: Empowered_2016,Global Satisfaction_2016,Reporting Level_2017,Response Count_2017,Employee Engagement: Overall_2017,Employee Engagement: Leaders Lead_2017,Employee Engagement: Supervisors_2017,Employee Engagement: Intrinsic Work Experience_2017,Global Satisfaction_2017,New IQ: Overall_2017,New IQ: Fair_2017,New IQ: Open_2017,New IQ: Cooperative_2017,New IQ: Supportive_2017,New IQ: Empowered_2017,HCAAF: Leadership and Knowledge Management_2017,HCAAF: Results-Oriented Performance Culture_2017,HCAAF: Talent Management_2017,HCAAF: Job Satisfaction_2017,Reporting Level_2018,Response Count_2018,Employee Engagement: Overall_2018,Employee Engagement: Leaders Lead_2018,Employee Engagement: Supervisors_2018,Employee Engagement: Intrinsic Work Experience_2018,Global Satisfaction_2018,New IQ: Overall_2018,New IQ: Fair_2018,New IQ: Open_2018,New IQ: Cooperative_2018,New IQ: Supportive_2018,New IQ: Empowering_2018,Reporting Level_2019,Response Count_2019,Employee Engagement: Overall_2019,Employee Engagement: Leaders Lead_2019,Employee Engagement: Supervisors_2019,Employee Engagement: Intrinsic Work Experience_2019,Global Satisfaction_2019,New IQ: Overall_2019,New IQ: Fair_2019,New IQ: Open_2019,New IQ: Cooperative_2019,New IQ: Supportive_2019,New IQ: Empowering_2019,Reporting Level_2020,Response Count_2020,Employee Engagement: Overall_2020,Employee Engagement: Leaders Lead_2020,Employee Engagement: Supervisors_2020,Employee Engagement: Intrinsic Work Experience_2020,Global Satisfaction_2020,Subsetting Code_2022,Reporting Level_2022,Response Count_2022,Employee Engagement: Overall_2022,Employee Engagement: Leaders Lead_2022,Employee Engagement: Supervisors_2022,Employee Engagement: Intrinsic Work Experience_2022,Global Satisfaction_2022
Governmentwide,GOV,Governmentwide,"421,748",0.64,0.51,0.71,0.69,0.59,0.52,0.57,0.64,0.57,0.43,0.56,0.52,0.75,0.57,0.6,Governmentwide,407789,0.65,0.53,0.72,0.7,0.6,0.53,0.58,0.65,0.58,0.45,0.57,0.54,0.75,0.58,0.61,Governmentwide,486105,0.67,0.55,0.74,0.71,0.64,0.6,0.47,0.59,0.57,0.77,0.59,0.62,0.54,0.59,0.66,Governmentwide,598003,0.67645355,0.56084281,0.75250746,0.71601037,0.64374253,0.6102467,0.48325387,0.60300383,0.58034323,0.78210118,0.60253138,Governmentwide,615395,0.68483824,0.57090582,0.76217133,0.72143756,0.64924976,0.62070441,0.4944852,0.6129174,0.59455745,0.79045225,0.61110978,Governmentwide,624800,0.72447792,0.61573887,0.80231001,0.75538488,0.6872763,GOV,Governmentwide,557778.0,0.70543273,0.5922603,0.79727759,0.72676029,0.61691133
Department of Commerce,CM,Agency,"10,129",0.68,0.56,0.77,0.72,0.62,0.6,0.62,0.68,0.63,0.54,0.61,0.56,0.81,0.6,0.67,Agency,9784,0.69,0.57,0.78,0.73,0.63,0.6,0.63,0.69,0.63,0.55,0.62,0.56,0.82,0.62,0.68,Agency,10480,0.71,0.58,0.8,0.74,0.7,0.66,0.57,0.65,0.6,0.84,0.63,0.65,0.62,0.64,0.69,Agency,20725,0.71441194,0.60119928,0.7981199,0.74391664,0.70653783,0.65730379,0.5762386,0.64839244,0.60050663,0.83050451,0.63087677,Agency,19847,0.72617735,0.61544285,0.81404344,0.74904576,0.71061852,0.67038208,0.58583664,0.6600119,0.61968865,0.84457958,0.64179363,Agency,21310,0.76040277,0.65457814,0.84348297,0.78314721,0.73709014,CM,Agency,21009.0,0.75102522,0.64713993,0.84442971,0.76150602,0.67068671
National Oceanic and Atmospheric Administration,CM09,Level 1,"2,182",0.64,0.48,0.73,0.71,0.56,0.53,0.55,0.66,0.58,0.46,0.56,0.5,0.79,0.58,0.64,Level 1,2121,0.65,0.49,0.74,0.73,0.57,0.55,0.57,0.68,0.59,0.48,0.57,0.5,0.79,0.6,0.66,Level 1,1984,0.67,0.52,0.76,0.72,0.68,0.62,0.51,0.6,0.57,0.81,0.61,0.6,0.57,0.58,0.69,Level 1,5448,0.69201538,0.56145682,0.76255447,0.75203485,0.69795518,0.63181821,0.51877527,0.62347292,0.57655951,0.80522957,0.63505381,Level 1,5274,0.70683053,0.57627788,0.78143387,0.76277985,0.7145792,0.6515847,0.53347823,0.64463928,0.60348973,0.82024845,0.65606781,Level 1,5022,0.7630096,0.654789,0.82508365,0.80915616,0.7662203,CM09,Level 1,4650.0,0.73838997,0.61480846,0.82375524,0.7766062,0.68358336
"National Environmental Satellite, Data & Information Service",CM0901,Level 2,219,0.58,0.44,0.69,0.62,0.54,0.5,0.48,0.58,0.54,0.45,0.56,0.47,0.75,0.47,0.51,Level 2,182,0.62,0.44,0.75,0.68,0.54,0.53,0.51,0.6,0.55,0.45,0.57,0.43,0.81,0.51,0.53,Level 2,159,0.65,0.5,0.79,0.67,0.62,0.59,0.51,0.63,0.48,0.8,0.55,0.58,0.58,0.54,0.67,Level 2,445,0.6627603,0.52519122,0.77680525,0.68628442,0.6268907,0.5977219,0.4963816,0.62793703,0.48127961,0.8258034,0.55720786,Level 2,348,0.67487746,0.53707006,0.79244979,0.69511253,0.6126469,0.62577261,0.53715479,0.6705478,0.503246,0.84606356,0.57185089,Level 2,315,0.77589671,0.67520831,0.85979644,0.79268539,0.71775823,CM0901,Level 2,330.0,0.76188089,0.65810014,0.85260445,0.77493808,0.67258357
NESDIS Headquarters & OSAAP,CM090101,Level 3,29,0.51,0.35,0.6,0.58,0.5,0.44,0.41,0.55,0.47,0.37,0.53,0.38,0.69,0.37,0.44,Level 3,31,0.69,0.55,0.78,0.74,0.62,0.62,0.65,0.68,0.65,0.59,0.64,0.56,0.81,0.64,0.59,Level 3,36,0.81,0.7,0.88,0.83,0.79,0.76,0.71,0.72,0.74,0.87,0.77,0.76,0.71,0.7,0.77,Level 3,69,0.73225846,0.67119607,0.77346841,0.75211091,0.70689391,0.65688765,0.59047155,0.65774442,0.60638866,0.79071358,0.63912006,Level 3,63,0.75915805,0.6855502,0.80886754,0.78305643,0.71740787,0.72187445,0.67362758,0.76334111,0.63096633,0.8457028,0.69573442,Level 3,64,0.85424054,0.7735365,0.91092717,0.87825794,0.83351459,CM0901,Level 3,72.0,0.80588921,0.77127752,0.86047384,0.78591626,0.66793745
Joint Polar Satellite System (JPSS) Program Office,CM090103,Level 3,23,0.64,0.6,0.73,0.59,0.63,0.47,0.56,0.55,0.61,0.51,0.65,0.67,0.79,0.46,0.49,Level 3,20,0.7,0.6,0.79,0.71,0.63,0.57,0.6,0.6,0.59,0.45,0.56,0.51,0.82,0.6,0.66,Level 3,11,0.75,0.55,0.83,0.89,0.69,0.64,0.54,0.62,0.56,0.78,0.7,0.59,0.62,0.62,0.74,Level 3,17,0.7410145,0.63973993,0.81978118,0.76352238,0.80035039,0.65295686,0.58293622,0.72996694,0.51168084,0.85595064,0.58424967,Level 3,15,0.77747117,0.77049341,0.85480021,0.7071199,0.59553102,0.73506268,0.55161841,0.81875449,0.76535505,0.91098583,0.62859964,Level 3,12,0.68949463,0.5060094,0.77221135,0.79026312,0.69297198,CM0901,Level 3,13.0,0.6552454,0.5533901,0.87209546,0.54025066,0.61446399
"Office of Projects, Partnerships, and Analysis",CM090104,Level 3,15,0.56,0.34,0.68,0.65,0.48,0.54,0.41,0.51,0.52,0.52,0.44,0.36,0.77,0.52,0.37,Level 3,18,0.62,0.59,0.68,0.59,0.61,0.59,0.61,0.6,0.63,0.72,0.6,0.61,0.73,0.5,0.62,Level 3,21,0.57,0.54,0.6,0.57,0.5,0.52,0.53,0.6,0.4,0.64,0.41,0.55,0.49,0.53,0.55,Level 3,14,0.55885391,0.44785835,0.68372202,0.54498137,0.42553655,0.53030939,0.36706112,0.51318676,0.57372241,0.76692197,0.43065471,Level 3,13,0.6566628,0.60470788,0.68805437,0.67722616,0.60880652,0.62233011,0.48568178,0.69576046,0.61363887,0.73737065,0.57919877,Level 3,12,0.7593216,0.83735884,0.7270754,0.71353055,0.63777498,CM0901,Level 3,14.0,0.87384704,0.83885013,0.98721951,0.79547147,0.77840825
Office of Satellite & Product Operations,CM090105,Level 3,26,0.56,0.34,0.7,0.64,0.46,0.51,0.41,0.53,0.54,0.51,0.55,0.41,0.81,0.43,0.38,Level 3,25,0.56,0.37,0.66,0.65,0.51,0.5,0.46,0.54,0.48,0.39,0.49,0.34,0.77,0.41,0.54,Level 3,24,0.6,0.43,0.77,0.6,0.65,0.52,0.44,0.55,0.36,0.77,0.49,0.5,0.55,0.49,0.67,Level 3,134,0.65642832,0.50964376,0.76182209,0.69781911,0.69036478,0.59466852,0.48389893,0.63494564,0.46700296,0.82260247,0.56489261,Level 3,85,0.66052136,0.51783825,0.79232126,0.67140456,0.68104767,0.61879645,0.50430797,0.6559776,0.50344116,0.85696047,0.57329507,Level 3,73,0.74074216,0.64581741,0.82749148,0.74891761,0.72587207,CM0901,Level 3,64.0,0.73648822,0.60418257,0.85491346,0.75036865,0.7169672
Center for Satellite Applications and Research,CM090106,Level 3,39,0.54,0.35,0.71,0.58,0.46,0.5,0.46,0.56,0.5,0.37,0.49,0.42,0.75,0.45,0.5,Level 3,27,0.6,0.44,0.73,0.62,0.52,0.52,0.36,0.56,0.54,0.46,0.58,0.41,0.86,0.37,0.38,Level 3,21,0.56,0.34,0.78,0.55,0.49,0.52,0.39,0.57,0.41,0.85,0.35,0.5,0.48,0.31,0.59,Level 3,39,0.69686291,0.63225314,0.82641306,0.63192252,0.59622789,0.60766348,0.56416974,0.63935947,0.48584004,0.84929905,0.49964908,Level 3,33,0.72466374,0.647021,0.84986492,0.67710531,0.6098284,0.65108892,0.60822093,0.7245848,0.52544921,0.88161022,0.51557945,Level 3,37,0.75317676,0.72318032,0.81050231,0.72584764,0.67011606,CM0901,Level 3,33.0,0.67579297,0.54709733,0.75784214,0.72243944,0.48677156
Office of Satellite Ground Services,CM090107,Level 3,28,0.78,0.73,0.82,0.78,0.76,0.65,0.73,0.77,0.7,0.57,0.7,0.7,0.83,0.7,0.74,Level 3,21,0.52,0.34,0.68,0.55,0.46,0.46,0.43,0.57,0.48,0.42,0.47,0.32,0.79,0.42,0.42,Level 3,25,0.52,0.41,0.65,0.49,0.46,0.54,0.46,0.66,0.5,0.71,0.35,0.53,0.46,0.42,0.5,Level 3,42,0.64093573,0.4900477,0.79840378,0.63435572,0.51952123,0.59608475,0.45664226,0.69025243,0.49577126,0.83046968,0.50728811,Level 3,28,0.55090888,0.3436831,0.7651491,0.54389444,0.42640453,0.56326617,0.54249439,0.58236725,0.46014615,0.80955919,0.42176389,Level 3,20,0.72334046,0.56004235,0.86901267,0.74096634,0.57198751,CM0901,Level 3,18.0,0.61542434,0.52067778,0.66002103,0.66557422,0.54557649
